jogador,gols
Gum,18
Marcão,18
Claudinho,18
David Braz,18
Gilmar,18
Ronaldo,18
Jonathan Copete,18
Thiago Heleno,18
Rodrigo,18
Marcos Denner,18
Giovanni Augusto,17
Francisco Arce,17
Danilo Barcelos,17
Neto Berola,17
Marcos Júnior,17
Marcinho,17
Geraldo,17
Caio,17
Luis Suárez,17
Juninho,17
Luiz Henrique,17
Bruno César,17
Henrique Pacheco,17
Soares,17
Anselmo,17
Edú Dracena,17
Rómulo Otero,17
Fahel,17
Dedé,17
Moisés,17
Fernandes,17
Nunes,17
Emerson,17
Luan Cândido,17
Wilson,17
Gonzalo Mastriani,17
Maurilio,17
Alessandro,17
Bissoli,17
Marcel,17
Capixaba,17
Kléber,16
Cicinho,16
Lincoln,16
Clarence Seedorf,16
Paulo Isidoro,16
Maicon,16
Rodrigo Lindoso,16
Baiano,16
Valdívia,16
Caio Canedo,16
Bruno Silva,16
Bernardo,16
Ramón,16
Donizete,16
Jóbson,16
Gabriel Jesus,16
Felipe Melo,16
Ricardinho,16
Magrão,16
Rosinei,16
André Dias,16
Renato Ribeiro,16
Diego Clementino,16
Galvão,16
Rômulo,16
Danilo Gomes,16
Léo Gamalho,16
Dejair Ferreira,16
Marquinho,15
Cléber Santana,15
Jorge Valdivia,15
Rafinha,15
Coelho,15
Robert,15
Léo Lima,15
Moisés,15
Felipe Menezes,15
Apodi,15
Vitinho,15
Luiz Araújo,15
Beto,15
Wanderson,15
Freddy Rincón,15
Kayke,15
Miguel Borja,15
Willian José,15
Fabão,15
Macedo,15
Anderson Aquino,15
Adhemar,15
Luiz Alberto,15
Bill,15
Mota,15
William Fabro,15
Santiago Tréllez,15
Ribamar,15
Felipe Vizeu,15
Kahê,15
Vítor,14
Athirson,14
Felipe Loureiro,14
Jesús Dátolo,14
Renato Cajá,14
Yago Felipe,14
Willian Arão,14
Geuvânio,14
Danilinho,14
Rildo,14
Fábio Simplício,14
Jael,14
Taison,14
Gabriel Veron,14
Martinez,14
Leandro Moura,14
Franco Cristaldo,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
Alberto,14
Matías Zaracho,14
Caíco,14
Júnior,14
Amaral,14
Arthur Gomes,14
Paulo Rink,14
Zé Afonso,14
Gustavo Henrique,14
Júnior Santos,14
Martin Braithwaite,14
Flávio,14
Abedi,14
Allann Delon,14
Danilo,14
Cris,14
Matheus Ferraz,14
Alex Santana,14
Cléber,14
Joel Tagueu,14
Lins,14
Jair,14
Rodrigo Mendes,14
Geovanni,14
Zé Alcino,14
